aid,evDesc1,evDesc2,evDesc3,evType,ts
3f36efb441e763020dfaf783e289655c3ec19fb13692cbde5f1c912d3c69e4c8,0.9.2 (29),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,13.6.1,ios","(47.698259751873,-122.37044843640845)",evStart,2020-08-26T00:02:20.105Z
6b9defb05dfc0199b1f7ef4bafc815338e328fc5935f57cb4ef2ae45e05820af,0.9.2 (29),"ipad,ios,tablet,cordova,capacitor,mobile,hybrid,Apple,iPad,ios,13.6.1,ios","(47.69827375933354,-122.37048730687675)",evStart,2020-08-26T00:03:57.358Z
ac1e51c717cdc4efc891f63dc74e49ff3b9b4d4243672f46bcd47c14a7e43883,0.9.2 (29),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,12.4.6,ios","(47.69831102140851,-122.37053233536898)",evStart,2020-08-26T00:05:23.548Z
6b9defb05dfc0199b1f7ef4bafc815338e328fc5935f57cb4ef2ae45e05820af,0.9.2 (29),"ipad,ios,tablet,cordova,capacitor,mobile,hybrid,Apple,iPad,ios,13.6.1,ios","(47.698247030094834,-122.3704356747822)",evStart,2020-08-26T03:33:11.980Z
6b9defb05dfc0199b1f7ef4bafc815338e328fc5935f57cb4ef2ae45e05820af,0.9.2 (29),"ipad,ios,tablet,cordova,capacitor,mobile,hybrid,Apple,iPad,ios,13.6.1,ios","(47.69822032151485,-122.37037263170635)",evStart,2020-08-26T11:32:44.898Z
51f2232b-ee92-461d-88ef-65ee8de0c359,0.7.20 (28),Pixel 3a: Android 10,"(47.6984055,-122.3704656)",evStart,2020-08-26T12:34:27.716Z
c43773fc6bfb8f0f6a80d5987d5c2dda09491d11a3089b47595bc7d5be0c7f5b, (),"tablet,desktop,,Macintosh,mac,Intel Mac OS X 10.15,web","(47.698390752153,-122.3706700879061)",evStart,2020-08-26T12:36:08.324Z
e6689634c0100d2e6ada504f710c49be1e02f77d85aefd42f2325c7fd1181e17,1.0.0 (30),"iphone,ios,phablet,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,13.6,ios","(47.698298,-122.37049784729292)",evStart,2020-08-26T16:34:30.461Z
4d60e2cc5fcab06b2020970ff0308de4aae156792db32b64d3f3491e2e3c2065,0.9.2 (29),"ipad,ios,tablet,cordova,capacitor,mobile,hybrid,Apple,iPad,ios,13.6.1,ios","(47.69824904124662,-122.37036967270373)",evStart,2020-08-26T16:34:53.832Z
4d60e2cc5fcab06b2020970ff0308de4aae156792db32b64d3f3491e2e3c2065,0.9.2 (29),"ipad,ios,tablet,cordova,capacitor,mobile,hybrid,Apple,iPad,ios,13.6.1,ios","(47.69824904124662,-122.37036967270373)",evStart,2020-08-26T16:35:15.251Z
